Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,pop,pwhite,pblack,phisp,pfb,pnative,popdensity,popingq,group_institutionalized,group_inst_other,gqprison,unemp_m,unemp_f,unemp_black,unemp_hisp,unemp_white,unemp_native,unemp,ppov,povt_m,povt_f,povt_black,povt_white,povt_hisp,povt_native,ppovchld,pcol,phs,pnohs,ppubassist,pfemhh,mhinc,mhmval,age18to34,age35to64,age65p,pown,year
Conecuh County,"Conecuh County, Alabama",2201894769,6644940,050,00,3,6,01035,01,035,13228,51.13,46.28,1.22,NA,0.33,15.55949,45,45,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.15,NA,NA,17.77,41.38,17.86,75.34,2010
Coosa County,"Coosa County, Alabama",1685891075,39946646,050,00,3,6,01037,01,037,11539,65.9,30.82,1.99,NA,0.35,17.72705,124,124,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.08,NA,NA,17.34,45.05,17.07,80.23,2010
Covington County,"Covington County, Alabama",2668869505,34526309,050,00,3,6,01039,01,039,37765,84.08,12.41,1.28,NA,0.52,36.64881,575,475,0,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.06,NA,NA,18.67,40.39,18.37,73.92,2010
Crenshaw County,"Crenshaw County, Alabama",1576888006,5376392,050,00,3,6,01041,01,041,13906,72.06,23.31,1.47,NA,0.4,22.84016,132,132,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.59,NA,NA,18.74,41.58,15.89,73.27,2010
Cullman County,"Cullman County, Alabama",1903228333,52266921,050,00,3,6,01043,01,043,80406,92.74,1.02,4.3,NA,0.49,109.4197,1056,696,0,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.42,NA,NA,20.52,40.37,15.93,74.99,2010
Dale County,"Dale County, Alabama",1453371157,4016457,050,00,3,6,01045,01,045,50251,71.05,19,5.61,NA,0.67,89.55007,917,344,0,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.64,NA,NA,23.84,37.88,13.45,61.54,2010
Dallas County,"Dallas County, Alabama",2534807386,39134826,050,00,3,6,01047,01,047,43820,28.93,69.18,0.71,NA,0.18,44.77393,786,282,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.14,NA,NA,20.55,38.92,14.07,62.43,2010
DeKalb County,"DeKalb County, Alabama",2012662359,4123588,050,00,3,6,01049,01,049,71109,81.56,1.45,13.63,NA,1.22,91.50639,782,630,0,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.03,NA,NA,20.91,39.37,13.89,75.2,2010
Elmore County,"Elmore County, Alabama",1601867593,99862541,050,00,3,6,01051,01,051,79303,74.96,19.94,2.68,NA,0.34,128.2215,5483,5359,0,5033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.07,NA,NA,22.48,42.03,11.9,77.32,2010
Escambia County,"Escambia County, Alabama",2447746932,20873208,050,00,3,6,01053,01,053,38319,61.35,31.74,1.87,NA,3.32,40.54576,3199,3170,0,3051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.33,NA,NA,21.6,40.59,15.17,72.65,2010
Etowah County,"Etowah County, Alabama",1385618994,35322991,050,00,3,6,01055,01,055,104430,79.28,15.05,3.3,NA,0.36,195.1997,2085,1479,0,877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.26,NA,NA,20.05,41.17,15.81,72.2,2010
Fayette County,"Fayette County, Alabama",1625631609,4392821,050,00,3,6,01057,01,057,17241,86.03,11.36,1.18,NA,0.27,27.4687,291,182,0,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,NA,NA,18.69,41.16,17.89,74.24,2010
Franklin County,"Franklin County, Alabama",1641587713,32897905,050,00,3,6,01059,01,059,31704,79.64,3.82,14.86,NA,0.38,50.02047,272,238,0,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.27,NA,NA,21.5,38.47,15.22,69.84,2010
Geneva County,"Geneva County, Alabama",1487710425,11765293,050,00,3,6,01061,01,061,26790,84.7,9.42,3.43,NA,0.74,46.6393,229,229,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.25,NA,NA,18.86,41.33,17.45,74.83,2010
Greene County,"Greene County, Alabama",1676007032,33231212,050,00,3,6,01063,01,063,9045,17.27,81.25,0.76,NA,0.12,13.97753,45,44,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.92,NA,NA,19.06,40.61,16.08,72.85,2010
Hale County,"Hale County, Alabama",1667803914,32525967,050,00,3,6,01065,01,065,15760,39.42,58.79,0.89,NA,0.15,24.47423,334,318,0,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,NA,19.55,40.57,15.04,77.09,2010
Henry County,"Henry County, Alabama",1454926258,16986789,050,00,3,6,01067,01,067,17302,67.8,28.41,2.25,NA,0.31,30.80017,199,199,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.61,NA,NA,17.7,42.06,17.59,78.44,2010
Houston County,"Houston County, Alabama",1501737720,4739984,050,00,3,6,01069,01,069,101547,68.67,25.64,2.95,NA,0.39,175.1341,1416,1188,88,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.16,NA,NA,21.01,39.99,14.45,65.74,2010
Jackson County,"Jackson County, Alabama",2791664869,126657194,050,00,3,6,01071,01,071,53227,90.06,3.33,2.52,NA,1.28,49.38175,597,471,0,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.32,NA,NA,18.86,42.14,16.48,75.66,2010
Jefferson County,"Jefferson County, Alabama",2878192209,32474487,050,00,3,6,01073,01,073,658466,51.67,41.84,3.87,NA,0.22,592.5313,15774,7005,184,3266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.39,NA,NA,24,39.41,13.13,64.94,2010
Lamar County,"Lamar County, Alabama",1566544654,1600679,050,00,3,6,01075,01,075,14564,86.12,11.23,1.24,NA,0.16,24.07884,217,197,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.55,NA,NA,17.31,41.77,18.76,73.23,2010
Lauderdale County,"Lauderdale County, Alabama",1729327931,138027479,050,00,3,6,01077,01,077,92709,85.46,9.91,2.25,NA,0.35,138.8489,1891,657,0,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.17,NA,NA,21.97,39.7,16.78,69.61,2010
Lawrence County,"Lawrence County, Alabama",1788846568,68688464,050,00,3,6,01079,01,079,34339,76.94,11.41,1.67,NA,5.61,49.71785,229,229,0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.61,NA,NA,19.42,42.83,14.56,80.36,2010
Lee County,"Lee County, Alabama",1573510728,21530362,050,00,3,6,01081,01,081,140247,69.81,22.58,3.26,NA,0.28,230.8456,4410,611,0,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.99,NA,NA,34.34,34.06,9.07,61.42,2010
Limestone County,"Limestone County, Alabama",1450228326,122381869,050,00,3,6,01083,01,083,82782,78.65,12.5,5.55,NA,0.59,147.8418,2907,2897,0,2614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,21.34,42.36,12.31,76.92,2010
Lowndes County,"Lowndes County, Alabama",1854199648,23723525,050,00,3,6,01085,01,085,11299,25.14,73.31,0.77,NA,0.22,15.7827,96,96,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.37,NA,NA,19.7,41.47,14.65,78.42,2010
Macon County,"Macon County, Alabama",1577005015,11194263,050,00,3,6,01087,01,087,21452,15.23,82.19,1.08,NA,0.13,35.23161,1772,230,0,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,NA,NA,28.12,37.15,14.13,63.45,2010
Madison County,"Madison County, Alabama",2076116529,28771340,050,00,3,6,01089,01,089,334811,66.14,23.75,4.6,NA,0.7,417.682,8042,2327,3,1108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.82,NA,NA,23.46,40.59,12.21,68.41,2010
Marengo County,"Marengo County, Alabama",2530112461,14994547,050,00,3,6,01091,01,091,21027,45.69,51.54,1.67,NA,0.15,21.52461,254,240,0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,18.76,40.27,16.28,75.01,2010
Marion County,"Marion County, Alabama",1922526826,3313145,050,00,3,6,01093,01,093,30776,92.63,3.83,2.05,NA,0.31,41.46078,868,820,0,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.11,NA,NA,18.2,41.8,18.34,72.9,2010
Marshall County,"Marshall County, Alabama",1465522757,148503356,050,00,3,6,01095,01,095,93019,83.92,1.49,12.08,NA,0.61,164.3905,1047,895,8,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.12,NA,NA,20.97,39.12,14.9,70.7,2010
Mobile County,"Mobile County, Alabama",3184223082,1073750500,050,00,3,6,01097,01,097,412992,59.06,34.45,2.41,NA,0.86,335.92,6808,3171,41,1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.79,NA,NA,22.98,39.03,12.91,66.95,2010
Monroe County,"Monroe County, Alabama",2656485275,22643193,050,00,3,6,01099,01,099,23068,54.71,41.53,0.95,NA,1.11,22.49056,230,216,0,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.14,NA,NA,18.49,40.5,15.68,76.81,2010
Montgomery County,"Montgomery County, Alabama",2031190777,40571253,050,00,3,6,01101,01,101,229363,38.41,54.47,3.62,NA,0.23,292.4626,9082,5170,108,4057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.89,NA,NA,25.67,37.88,11.96,61.43,2010
Morgan County,"Morgan County, Alabama",1500476319,51064861,050,00,3,6,01103,01,103,119490,77.48,11.77,7.66,NA,0.78,206.253,2133,1887,0,1257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.86,NA,NA,20.98,40.95,14.12,71.52,2010
Perry County,"Perry County, Alabama",1863920409,10918516,050,00,3,6,01105,01,105,10591,29.67,68.4,1.08,NA,0.16,14.7166,721,152,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.11,NA,NA,23.66,35.53,16.7,69.47,2010
Pickens County,"Pickens County, Alabama",2282837059,22578169,050,00,3,6,01107,01,107,19746,55.84,41.37,1.59,NA,0.14,22.40278,334,331,0,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.42,NA,NA,19.18,40.63,16.89,76.11,2010
Pike County,"Pike County, Alabama",1740715643,2362806,050,00,3,6,01109,01,109,32899,57.41,36.44,2.22,NA,0.56,48.94999,1963,181,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.21,NA,NA,33.3,33.59,12.8,59.84,2010
Randolph County,"Randolph County, Alabama",1503616599,9285288,050,00,3,6,01111,01,111,22913,75.42,20.09,2.83,NA,0.37,39.46777,407,214,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,NA,NA,18.76,40.38,16.97,74.21,2010
Russell County,"Russell County, Alabama",1660545751,15673340,050,00,3,6,01113,01,113,52947,52.11,41.41,3.68,NA,0.36,82.58254,574,494,0,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.29,NA,NA,23.54,38.27,12.69,59.99,2010
St. Clair County,"St. Clair County, Alabama",1636619393,56300062,050,00,3,6,01115,01,115,83593,87.26,8.49,2.05,NA,0.3,132.2879,1967,1945,0,1652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.19,NA,NA,21.4,41.83,13.05,80.67,2010
Shelby County,"Shelby County, Alabama",2032960300,63700594,050,00,3,6,01117,01,117,195085,80.16,10.56,5.93,NA,0.23,248.538,2574,1415,0,930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35,NA,NA,21.66,42.16,10.57,79.83,2010
Sumter County,"Sumter County, Alabama",2341057426,24436353,050,00,3,6,01119,01,119,13763,24.01,74.71,0.62,NA,0.08,15.22645,718,131,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.23,NA,NA,25.13,37.59,14.99,69.25,2010
Talladega County,"Talladega County, Alabama",1908239516,60944144,050,00,3,6,01121,01,121,82291,64.5,31.54,2.03,NA,0.28,111.6908,3143,2791,320,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.46,NA,NA,20.76,41.72,14.09,72.63,2010
Tallapoosa County,"Tallapoosa County, Alabama",1855780057,128808796,050,00,3,6,01123,01,123,41616,69.3,26.55,2.5,NA,0.29,58.08067,576,521,0,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.94,NA,NA,18.59,41.98,17.28,72.59,2010
Tuscaloosa County,"Tuscaloosa County, Alabama",3423328940,76395592,050,00,3,6,01125,01,125,194656,65.04,29.49,3.06,NA,0.23,147.2709,10423,1605,115,683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.86,NA,NA,33.1,34.62,10.81,59.97,2010
Walker County,"Walker County, Alabama",2049177420,36263761,050,00,3,6,01127,01,127,67023,90.4,5.8,1.95,NA,0.35,84.711429999999993,866,685,0,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.27,NA,NA,19.5,41.71,16.25,75.77,2010
Washington County,"Washington County, Alabama",2797722307,21650857,050,00,3,6,01129,01,129,17581,65.16,24.8,0.86,NA,7.93,16.27559,147,141,0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.27,NA,NA,18.95,40.81,14.73,84.61,2010
Wilcox County,"Wilcox County, Alabama",2301200113,48985152,050,00,3,6,01131,01,131,11670,26.65,72.15,0.62,NA,0.12,13.13452,108,106,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.25,NA,NA,18.71,39.28,15.01,79.91,2010
Winston County,"Winston County, Alabama",1587607882,48922827,050,00,3,6,01133,01,133,24484,94.91,0.47,2.61,NA,0.57,39.94265,301,256,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.85,NA,NA,17.8,42.86,17.7,76.93,2010
Aleutians East Borough,"Aleutians East Borough, Alaska",18083148800,20792209033,050,00,4,9,02013,02,013,3141,13.53,6.75,12.26,NA,27.67,0.4498748,1726,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.38,NA,NA,25.85,57.4,4.93,51.54,2010
Aleutians West Census Area,"Aleutians West Census Area, Alaska",11370762625,25190643524,050,00,4,9,02016,02,016,5561,31.38,5.72,13.06,NA,15.12,1.266663,2543,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.57,NA,NA,25.14,56.73,3.47,32.26,2010
Anchorage Municipality,"Anchorage Municipality, Alaska",4415108963,663860984,050,00,4,9,02020,02,020,291826,62.64,5.25,7.56,NA,7.55,171.1908,8450,2828,75,1616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.67,NA,NA,26.81,39.98,7.24,59.89,2010
Bethel Census Area,"Bethel Census Area, Alaska",105075822708,12779523593,050,00,4,9,02050,02,050,17013,10.9,0.38,1.06,NA,82.62,0.4193492,338,184,0,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.16,NA,NA,24.88,32.45,6.12,58.1,2010
Bristol Bay Borough,"Bristol Bay Borough, Alaska",1304947207,993830067,050,00,4,9,02060,02,060,997,47.74,0,2.41,NA,33.1,1.978791,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.86,NA,NA,18.05,51.05,8.32,52.01,2010
Denali Borough,"Denali Borough, Alaska",33026000538,66068790,050,00,4,9,02068,02,068,1826,88.39,0.55,2.3,NA,3.5,0.1431998,36,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,17.14,52.85,7.5,74.94,2010
Dillingham Census Area,"Dillingham Census Area, Alaska",48092912615,6077223732,050,00,4,9,02070,02,070,4847,17.64,0.23,2.08,NA,70.79,0.2610295,52,10,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.21,NA,NA,23.75,35.77,7.57,59.76,2010
Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",19005874393,273188119,050,00,4,9,02090,02,090,97581,74.05,4.26,5.79,NA,6.83,13.29766,4313,575,0,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,NA,NA,30.04,37.8,6.53,58.75,2010
Haines Borough,"Haines Borough, Alaska",6005146534,1053874968,050,00,4,9,02100,02,100,2508,82.22,0.36,1.87,NA,9.05,1.081687,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.83,NA,NA,14.55,51.79,13.76,71.54,2010
Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, Alaska",19489439091,8778085294,050,00,4,9,02105,02,105,2150,46.19,0.37,3.58,NA,39.53,0.2857175,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.54,NA,NA,18.19,48.7,13.4,68.24,2010
Juneau City and Borough,"Juneau City and Borough, Alaska",6997968643,1429575134,050,00,4,9,02110,02,110,31275,67.35,0.83,5.08,NA,11.3,11.57506,887,408,0,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.38,NA,NA,22.71,45.41,8.43,62.28,2010
Kenai Peninsula Borough,"Kenai Peninsula Borough, Alaska",41634915224,22473290427,050,00,4,9,02122,02,122,55400,82.81,0.45,2.96,NA,7.17,3.446274,1722,1104,0,966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.13,NA,NA,19.61,45.4,11.33,73.31,2010
Ketchikan Gateway Borough,"Ketchikan Gateway Borough, Alaska",12583232994,4649414062,050,00,4,9,02130,02,130,13477,66.17,0.56,3.99,NA,13.59,2.773951,246,120,0,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.59,NA,NA,22.16,43.75,10.14,57.98,2010
